"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"15062","MONESSEN, PA","G",1318,"G",12958,"G",50398,115,"MONESSEN","PA","WESTMORELAND"
"15063","MONONGAHELA, PA","H",3712,"H",42505,"H",166454,239,"MONONGAHELA","PA","WASHINGTON"
"15064","MORGAN, PA","H",239,"H",4081,"H",17431,28,"MORGAN","PA","ALLEGHENY"
"15065","NATRONA HEIGHTS, PA","H",3876,"H",36536,"H",154535,255,"NATRONA HEIGHTS","PA","ALLEGHENY"
"15066","NEW BRIGHTON, PA","G",2764,"G",18593,"G",78984,238,"NEW BRIGHTON","PA","BEAVER"
"15067","NEW EAGLE, PA","G",279,"H",3727,"G",11519,27,"NEW EAGLE","PA","WASHINGTON"
"15068","NEW KENSINGTON, PA","G",9994,"G",115191,"G",446740,752,"NEW KENSINGTON","PA","WESTMORELAND"
"15069","NEW KENSINGTON, PA","H",231,"J",6964,"J",11137,5,"NEW KENSINGTON","PA","WESTMORELAND"
"15071","OAKDALE, PA","G",2830,"G",29996,"G",127586,234,"OAKDALE","PA","ALLEGHENY"
"15074","ROCHESTER, PA","H",2271,"H",23540,"H",94299,166,"ROCHESTER","PA","BEAVER"
"15076","RUSSELLTON, PA","G",213,"G",1734,"G",6860,30,"RUSSELLTON","PA","ALLEGHENY"
"15077","SHIPPINGPORT, PA","H",1171,"J",42645,"H",116260,10,"SHIPPINGPORT","PA","BEAVER"
"15078","SLOVAN, PA","H",94,"H",1006,"H",3967,12,"SLOVAN","PA","WASHINGTON"
"15081","SOUTH HEIGHTS, PA","H",54,"H",479,"H",1932,6,"SOUTH HEIGHTS","PA","BEAVER"
"15082","STURGEON, PA","J",17,"H",59,"H",368,6,"STURGEON","PA","ALLEGHENY"
"15083","SUTERSVILLE, PA","J",81,"H",489,"G",1922,17,"SUTERSVILLE","PA","WESTMORELAND"
"15084","TARENTUM, PA","G",4525,"G",33089,"G",130674,289,"TARENTUM","PA","ALLEGHENY"
"15085","TRAFFORD, PA","G",1591,"H",17113,"H",77009,132,"TRAFFORD","PA","WESTMORELAND"
"15086","WARRENDALE, PA","H",8856,"H",175307,"H",675750,212,"WARRENDALE","PA","ALLEGHENY"
"15088","WEST ELIZABETH, PA","H",491,"J",9541,"J",38419,24,"WEST ELIZABETH","PA","ALLEGHENY"
"15089","WEST NEWTON, PA","G",843,"G",5103,"G",20587,101,"WEST NEWTON","PA","WESTMORELAND"
"15090","WEXFORD, PA","G",12708,"G",144915,"G",590903,994,"WEXFORD","PA","ALLEGHENY"
"15091","WILDWOOD, PA","G",216,"G",2162,"G",8387,7,"WILDWOOD","PA","ALLEGHENY"
"15101","ALLISON PARK, PA","G",4802,"H",55521,"G",198123,484,"ALLISON PARK","PA","ALLEGHENY"
"15102","BETHEL PARK, PA","G",8561,"G",77743,"G",317789,677,"BETHEL PARK","PA","ALLEGHENY"
"15104","BRADDOCK, PA","G",1572,"G",17577,"G",74743,103,"BRADDOCK","PA","ALLEGHENY"
"15106","CARNEGIE, PA","G",7362,"G",89010,"G",361415,561,"CARNEGIE","PA","ALLEGHENY"
"15108","CORAOPOLIS, PA","H",41460,"G",596566,"G",2110215,1166,"CORAOPOLIS","PA","ALLEGHENY"
"15110","DUQUESNE, PA","H",1093,"H",14357,"H",55909,75,"DUQUESNE","PA","ALLEGHENY"
"15112","EAST PITTSBURGH, PA","G",992,"G",10400,"H",49293,58,"EAST PITTSBURGH","PA","ALLEGHENY"
"15116","GLENSHAW, PA","G",2687,"G",30394,"G",136676,283,"GLENSHAW","PA","ALLEGHENY"
"15120","HOMESTEAD, PA","G",6597,"G",64740,"G",232639,433,"HOMESTEAD","PA","ALLEGHENY"
"15122","WEST MIFFLIN, PA","G",11623,"G",168616,"G",650946,342,"WEST MIFFLIN","PA","ALLEGHENY"
"15123","WEST MIFFLIN, PA","H",262,"H",1006,"H",2982,20,"WEST MIFFLIN","PA","ALLEGHENY"
"15126","IMPERIAL, PA","G",1530,"G",22146,"G",102746,132,"IMPERIAL","PA","ALLEGHENY"
"15127","INGOMAR, PA","H",138,"H",1091,"H",5179,19,"INGOMAR","PA","ALLEGHENY"
"15129","SOUTH PARK, PA","G",819,"G",6008,"G",24865,137,"SOUTH PARK","PA","ALLEGHENY"
"15131","MCKEESPORT, PA","G",1799,"G",16879,"G",65208,198,"MCKEESPORT","PA","ALLEGHENY"
"15132","MCKEESPORT, PA","H",6684,"H",71890,"H",301544,396,"MCKEESPORT","PA","ALLEGHENY"
"15133","MCKEESPORT, PA","G",248,"G",1765,"G",7412,43,"MCKEESPORT","PA","ALLEGHENY"
"15134","MCKEESPORT, PA","H",111,"H",703,"J",2061,6,"MCKEESPORT","PA","ALLEGHENY"
"15135","MCKEESPORT, PA","G",548,"H",5443,"H",22598,56,"MCKEESPORT","PA","ALLEGHENY"
"15136","MC KEES ROCKS, PA","G",7315,"G",82231,"G",317276,575,"MC KEES ROCKS","PA","ALLEGHENY"
"15137","NORTH VERSAILLES, PA","G",3474,"G",25338,"G",101763,250,"NORTH VERSAILLES","PA","ALLEGHENY"
"15139","OAKMONT, PA","G",3475,"G",34492,"G",154654,224,"OAKMONT","PA","ALLEGHENY"
"15140","PITCAIRN, PA","H",419,"H",3051,"H",12602,35,"PITCAIRN","PA","ALLEGHENY"
"15142","PRESTO, PA","G",325,"G",2857,"G",12430,42,"PRESTO","PA","ALLEGHENY"
"15143","SEWICKLEY, PA","G",10337,"G",133863,"G",532039,723,"SEWICKLEY","PA","ALLEGHENY"
"15144","SPRINGDALE, PA","G",837,"H",7992,"G",33838,87,"SPRINGDALE","PA","ALLEGHENY"
"15145","TURTLE CREEK, PA","G",1803,"G",21063,"G",88921,128,"TURTLE CREEK","PA","ALLEGHENY"
"15146","MONROEVILLE, PA","G",20779,"G",231029,"G",907969,1158,"MONROEVILLE","PA","ALLEGHENY"
"15147","VERONA, PA","G",3543,"G",32361,"G",131857,257,"VERONA","PA","ALLEGHENY"
"15148","WILMERDING, PA","G",888,"H",8277,"H",32140,52,"WILMERDING","PA","ALLEGHENY"
"15201","PITTSBURGH, PA","G",7280,"G",96348,"G",355449,473,"PITTSBURGH","PA","ALLEGHENY"
"15202","PITTSBURGH, PA","G",3675,"G",28177,"G",112830,335,"PITTSBURGH","PA","ALLEGHENY"
"15203","PITTSBURGH, PA","G",12439,"G",209986,"G",927872,588,"PITTSBURGH","PA","ALLEGHENY"
